c wgt should equal 4.16418e+15*VOL or 4.18426e+13*MASS
#          si001        sp001
               l            d
     7.51002e-04  8.47916e-07
     8.52338e-04  4.03032e-07
     8.76890e-04  6.91809e-09
     8.83642e-04  2.83388e-07
     7.41782e-03  1.59582e-05
     7.43578e-03  3.11648e-05
     8.22232e-03  1.95160e-06
     8.22459e-03  3.82673e-06
     8.28788e-03  1.67293e-09
     8.28814e-03  2.43143e-09
     3.47140e-01  3.75263e-05
     8.26100e-01  3.80267e-05
     1.17323e+00  4.99600e-01
     1.33249e+00  5.00264e-01
     2.15857e+00  6.00421e-06
     2.50569e+00  1.00070e-08
