c wgt should equal 1.85942e+18*VOL or 1.13214e+16*MASS
#          si001        sp001
               l            d
     2.16230e-03  3.85615e-04
     2.16254e-03  1.94898e-04
     2.17260e-03  5.48023e-11
     2.28790e-03  5.32119e-08
     2.41413e-03  1.05556e-03
     2.41413e-03  2.08720e-03
     2.54820e-03  2.95922e-07
     2.54869e-03  5.52942e-04
     2.54884e-03  1.08725e-03
     2.56000e-03  1.08071e-14
     2.69739e-03  1.67106e-07
     2.82714e-03  3.13204e-05
     2.82793e-03  6.19633e-05
     2.98993e-03  1.06764e-08
     1.82141e-02  8.31652e-03
     1.82141e-02  1.62017e-02
     1.83344e-02  1.58132e-02
     1.83344e-02  3.08089e-02
     1.91152e-02  2.12122e-06
     1.91500e-02  4.51552e-14
     1.92483e-02  4.02440e-06
     1.92790e-02  8.56392e-14
     2.05668e-02  1.30795e-03
     2.05668e-02  2.50319e-03
     2.05870e-02  2.54550e-03
     2.05870e-02  4.88122e-03
     2.07450e-02  6.82317e-06
     2.07450e-02  1.32729e-05
     2.07489e-02  9.63031e-06
     2.07489e-02  1.87340e-05
     2.09624e-02  2.52345e-04
     2.09624e-02  4.91691e-04
     2.09654e-02  4.84947e-04
     2.09654e-02  9.44911e-04
     2.10039e-02  3.61006e-07
     2.10039e-02  7.03414e-07
     2.10042e-02  5.03792e-07
     2.10042e-02  9.81629e-07
     2.16049e-02  3.37695e-07
     2.16277e-02  6.56773e-07
     2.16340e-02  7.02631e-15
     2.16570e-02  1.36049e-14
     2.17925e-02  1.88646e-09
     2.17969e-02  2.65421e-09
     2.20328e-02  6.61356e-08
     2.20363e-02  1.27328e-07
     2.20740e-02  3.19201e-15
     2.20778e-02  1.25702e-10
     2.20782e-02  1.74862e-10
     4.05832e-02  8.35419e-03
     8.95000e-02  1.65787e-13
     8.96000e-02  7.88468e-06
     1.40511e-01  3.56112e-02
     1.40511e-01  6.74862e-01
     1.42630e-01  1.68716e-04
     1.58782e-01  1.50144e-04
     1.62370e-01  9.43215e-05
     1.81068e-01  4.82194e-02
     2.32800e-01  6.45313e-08
     2.42290e-01  2.02117e-05
     2.49030e-01  3.07988e-05
     3.22400e-01  7.35096e-07
     3.66421e-01  9.45139e-03
     3.80130e-01  8.27719e-05
     3.91700e-01  2.50241e-05
     4.10270e-01  1.53994e-05
     4.11491e-01  1.15496e-04
     4.57600e-01  6.44851e-05
     4.69630e-01  2.11742e-05
     5.28788e-01  4.52358e-04
     5.37790e-01  2.59865e-05
     5.80510e-01  2.50241e-05
     6.20030e-01  1.82868e-05
     6.21771e-01  1.44370e-04
     6.89600e-01  3.36862e-06
     7.39500e-01  9.62464e-02
     7.61770e-01  3.17613e-06
     7.77921e-01  3.37825e-02
     8.22972e-01  1.05871e-03
     8.61200e-01  5.77478e-05
     9.60754e-01  7.50722e-04
     9.86440e-01  1.15496e-05
     1.00134e+00  4.33109e-05
     1.01700e+00  4.81232e-06
     1.05620e+00  8.56593e-06
