USER INPUT MATERIAL SPECIFICATION:

      SZA   Isotope    Mass Frac
    92000     U-Nat  1.00000e+00

Material density: 1.80000e+01 g/cm^3

The material was aged for 3.14000e+07 s  using data from endf7.dk.xml

RESULTING MATERIAL SPECIFICATION:

      SZA   Isotope    Atom Frac    Mass Frac
    80206    Hg-206  1.27980e-33  1.10747e-33
    81205    Tl-205  1.51722e-47  1.30653e-47
    81206    Tl-206  4.29461e-32  3.71630e-32
    81207    Tl-207  2.37491e-23  2.06509e-23
    81210    Tl-210  2.18313e-28  1.92596e-28
    82206    Pb-206  1.79148e-22  1.55023e-22
    82207    Pb-207  5.40613e-19  4.70085e-19
    82209    Pb-209  2.78302e-30  2.44339e-30
    82210    Pb-210  9.45370e-20  8.33986e-20
    82211    Pb-211  1.80241e-22  1.59765e-22
    82214    Pb-214  2.14297e-23  1.92664e-23
    83209    Bi-209  1.69762e-27  1.49045e-27
    83210    Bi-210  5.50424e-23  4.85572e-23
    83211    Bi-211  1.06845e-23  9.47069e-24
    83214    Bi-214  1.59138e-23  1.43072e-23
    83215    Bi-215  3.93728e-29  3.55639e-29
    84210    Po-210  4.90580e-22  4.32777e-22
    84211    Po-211  1.18508e-28  1.05045e-28
    84214    Po-214  2.18935e-30  1.96829e-30
    84215    Po-215  1.48237e-28  1.33895e-28
    84218    Po-218  2.47808e-24  2.26965e-24
    85215    At-215  1.91435e-35  1.72913e-35
    85218    At-218  3.99948e-30  3.66309e-30
    85219    At-219  4.92028e-30  4.52716e-30
    86218    Rn-218  9.33212e-35  8.54709e-35
    86219    Rn-219  3.29601e-25  3.03264e-25
    86222    Rn-222  4.40417e-21  4.10792e-21
    87223    Fr-223  1.93298e-24  1.81109e-24
    88223    Ra-223  8.21964e-20  7.70130e-20
    88226    Ra-226  6.93897e-16  6.58905e-16
    89227    Ac-227  7.29169e-17  6.95469e-17
    90227    Th-227  1.45707e-19  1.38973e-19
    90230    Th-230  1.51702e-10  1.46606e-10
    90231    Th-231  2.97954e-14  2.89201e-14
    90234    Th-234  1.44078e-11  1.41666e-11
    91231    Pa-231  7.02967e-12  6.82315e-12
    91234    Pa-234  2.66978e-16  2.62508e-16
    92234     U-234  5.40000e-05  5.30953e-05
    92235     U-235  7.20400e-03  7.11366e-03
    92238     U-238  9.92742e-01  9.92833e-01
  1091234  Pa-234m1  4.81174e-16  4.73117e-16

Atom density: 4.55401e-02 a/b*cm
Mass density: 1.80000e+01 g/cm^3

TOTAL PARTICLE EMISSION RATES

   Particle   cm^-3 s^-1    g^-1 s^-1   Frac. Rate
          n  2.42704e-01  1.34835e-02  3.80112e-07
          p  1.86172e+05  1.03429e+04  2.91574e-01
          a  4.52334e+05  2.51297e+04  7.08425e-01
      Total  6.38506e+05  3.54726e+04  1.00000e+00

